epoch,loss,output_1_dice_metric,output_1_loss,output_2_dice_metric,output_2_loss,output_3_dice_metric,output_3_loss,output_4_dice_metric,output_4_loss,val_loss,val_output_1_dice_metric,val_output_1_loss,val_output_2_dice_metric,val_output_2_loss,val_output_3_dice_metric,val_output_3_loss,val_output_4_dice_metric,val_output_4_loss
11,0.8382080793380737,3.104445173152115e-11,0.8381591439247131,3.104445173152115e-11,0.8381591439247131,3.104445173152115e-11,0.8381591439247131,3.104445173152115e-11,0.8381591439247131,0.837670087814331,3.1075909207034513e-11,0.837670087814331,3.1075909207034513e-11,0.837670087814331,3.1075909207034513e-11,0.837670087814331,3.1075909207034513e-11,0.837670087814331
12,0.8374748229980469,3.109165702674943e-11,0.837425947189331,3.109165702674943e-11,0.837425947189331,3.109165702674943e-11,0.837425947189331,3.109165702674943e-11,0.837425947189331,0.8369379043579102,3.1123183891201833e-11,0.8369379043579102,3.1123183891201833e-11,0.8369379043579102,3.1123183891201833e-11,0.8369379043579102,3.1123183891201833e-11,0.8369379043579102
13,0.8367429971694946,3.113896987483322e-11,0.8366942405700684,3.113896987483322e-11,0.8366942405700684,3.113896987483322e-11,0.8366942405700684,3.113896987483322e-11,0.8366942405700684,0.836207389831543,3.117058000601247e-11,0.836207389831543,3.117058000601247e-11,0.836207389831543,3.117058000601247e-11,0.836207389831543,3.117058000601247e-11,0.836207389831543
14,0.8360128402709961,3.118639721466643e-11,0.8359642028808594,3.118639721466643e-11,0.8359642028808594,3.118639721466643e-11,0.8359642028808594,3.118639721466643e-11,0.8359642028808594,0.8354783058166504,3.121806632644386e-11,0.8354783058166504,3.121806632644386e-11,0.8354783058166504,3.121806632644386e-11,0.8354783058166504,3.121806632644386e-11,0.8354783058166504
15,0.8352842330932617,3.123392863790819e-11,0.8352357745170593,3.123392863790819e-11,0.8352357745170593,3.123392863790819e-11,0.8352357745170593,3.123392863790819e-11,0.8352357745170593,0.8347508907318115,3.126567754696552e-11,0.8347508907318115,3.126567754696552e-11,0.8347508907318115,3.126567754696552e-11,0.8347508907318115,3.126567754696552e-11,0.8347508907318115
16,0.8345573544502258,3.128157108345242e-11,0.8345088958740234,3.128157108345242e-11,0.8345088958740234,3.128157108345242e-11,0.8345088958740234,3.128157108345242e-11,0.8345088958740234,0.8340251445770264,3.1313389381448786e-11,0.8340251445770264,3.1313389381448786e-11,0.8340251445770264,3.1313389381448786e-11,0.8340251445770264,3.1313389381448786e-11,0.8340251445770264
17,0.8338319659233093,3.132932455129911e-11,0.8337836861610413,3.132932455129911e-11,0.8337836861610413,3.132932455129911e-11,0.8337836861610413,3.132932455129911e-11,0.8337836861610413,0.8333010673522949,3.136120876878756e-11,0.8333010673522949,3.136120876878756e-11,0.8333010673522949,3.136120876878756e-11,0.8333010673522949,3.136120876878756e-11,0.8333010673522949
18,0.8331083059310913,3.137716822476655e-11,0.833060085773468,3.137716822476655e-11,0.833060085773468,3.137716822476655e-11,0.833060085773468,3.137716822476655e-11,0.833060085773468,0.8325786590576172,3.14091322395349e-11,0.8325786590576172,3.14091322395349e-11,0.8325786590576172,3.14091322395349e-11,0.8325786590576172,3.14091322395349e-11,0.8325786590576172
19,0.8323863744735718,3.142513679832426e-11,0.8323383331298828,3.142513679832426e-11,0.8323383331298828,3.142513679832426e-11,0.8323383331298828,3.142513679832426e-11,0.8323383331298828,0.8318578004837036,3.14571736714786e-11,0.8318578004837036,3.14571736714786e-11,0.8318578004837036,3.14571736714786e-11,0.8318578004837036,3.14571736714786e-11,0.8318578004837036
20,0.8316658735275269,3.147320945529053e-11,0.8316180109977722,3.147320945529053e-11,0.8316180109977722,3.147320945529053e-11,0.8316180109977722,3.147320945529053e-11,0.8316180109977722,0.8311386108398438,3.1505308778490004e-11,0.8311386108398438,3.1505308778490004e-11,0.8311386108398438,3.1505308778490004e-11,0.8311386108398438,3.1505308778490004e-11,0.8311386108398438
21,0.8309471011161804,3.152138619566536e-11,0.8308992981910706,3.152138619566536e-11,0.8308992981910706,3.152138619566536e-11,0.8308992981910706,3.152138619566536e-11,0.8308992981910706,0.8304210901260376,3.1553561846697775e-11,0.8304210901260376,3.1553561846697775e-11,0.8304210901260376,3.1553561846697775e-11,0.8304210901260376,3.1553561846697775e-11,0.8304210901260376
22,0.8302300572395325,3.1569670488895696e-11,0.8301823139190674,3.1569670488895696e-11,0.8301823139190674,3.1569670488895696e-11,0.8301823139190674,3.1569670488895696e-11,0.8301823139190674,0.8297051191329956,3.16019120594202e-11,0.8297051191329956,3.16019120594202e-11,0.8297051191329956,3.16019120594202e-11,0.8297051191329956,3.16019120594202e-11,0.8297051191329956
23,0.8295146226882935,3.161805886553459e-11,0.8294669985771179,3.161805886553459e-11,0.8294669985771179,3.161805886553459e-11,0.8294669985771179,3.161805886553459e-11,0.8294669985771179,0.8289909362792969,3.165037676389204e-11,0.8289909362792969,3.165037676389204e-11,0.8289909362792969,3.165037676389204e-11,0.8289909362792969,3.165037676389204e-11,0.8289909362792969
24,0.8288006782531738,3.1666561733922904e-11,0.8287531733512878,3.1666561733922904e-11,0.8287531733512878,3.1666561733922904e-11,0.8287531733512878,3.1666561733922904e-11,0.8287531733512878,0.8282781839370728,3.1698952490666343e-11,0.8282781839370728,3.1698952490666343e-11,0.8282781839370728,3.1698952490666343e-11,0.8282781839370728,3.1698952490666343e-11,0.8282781839370728
25,0.8280884623527527,3.1715172155166726e-11,0.8280410766601562,3.1715172155166726e-11,0.8280410766601562,3.1715172155166726e-11,0.8280410766601562,3.1715172155166726e-11,0.8280410766601562,0.8275672197341919,3.17476253619553e-11,0.8275672197341919,3.17476253619553e-11,0.8275672197341919,3.17476253619553e-11,0.8275672197341919,3.17476253619553e-11,0.8275672197341919
26,0.8273779153823853,3.1763879720925203e-11,0.8273305892944336,3.1763879720925203e-11,0.8273305892944336,3.1763879720925203e-11,0.8273305892944336,3.1763879720925203e-11,0.8273305892944336,0.8268578052520752,3.179640925554672e-11,0.8268578052520752,3.179640925554672e-11,0.8268578052520752,3.179640925554672e-11,0.8268578052520752,3.179640925554672e-11,0.8268578052520752
27,0.826668918132782,3.1812701778433095e-11,0.8266217112541199,3.1812701778433095e-11,0.8266217112541199,3.1812701778433095e-11,0.8266217112541199,3.1812701778433095e-11,0.8266217112541199,0.8261499404907227,3.18452972325467e-11,0.8261499404907227,3.18452972325467e-11,0.8261499404907227,3.18452972325467e-11,0.8261499404907227,3.18452972325467e-11,0.8261499404907227
28,0.8259614706039429,3.186162444990259e-11,0.8259144425392151,3.186162444990259e-11,0.8259144425392151,3.186162444990259e-11,0.8259144425392151,3.186162444990259e-11,0.8259144425392151,0.8254438638687134,3.1894303170743044e-11,0.8254438638687134,3.1894303170743044e-11,0.8254438638687134,3.1894303170743044e-11,0.8254438638687134,3.1894303170743044e-11,0.8254438638687134
29,0.8252557516098022,3.1910661613121505e-11,0.825208842754364,3.1910661613121505e-11,0.825208842754364,3.1910661613121505e-11,0.825208842754364,3.1910661613121505e-11,0.825208842754364,0.8247393369674683,3.1943409722900995e-11,0.8247393369674683,3.1943409722900995e-11,0.8247393369674683,3.1943409722900995e-11,0.8247393369674683,3.1943409722900995e-11,0.8247393369674683
30,0.8245517611503601,3.1959802859748976e-11,0.8245048522949219,3.1959802859748976e-11,0.8245048522949219,3.1959802859748976e-11,0.8245048522949219,3.1959802859748976e-11,0.8245048522949219,0.8240363597869873,3.199260995012665e-11,0.8240363597869873,3.199260995012665e-11,0.8240363597869873,3.199260995012665e-11,0.8240363597869873,3.199260995012665e-11,0.8240363597869873
31,0.8238493204116821,3.2009048189785005e-11,0.8238024711608887,3.2009048189785005e-11,0.8238024711608887,3.2009048189785005e-11,0.8238024711608887,3.2009048189785005e-11,0.8238024711608887,0.8233350515365601,3.204194201633648e-11,0.8233350515365601,3.204194201633648e-11,0.8233350515365601,3.204194201633648e-11,0.8233350515365601,3.204194201633648e-11,0.8233350515365601
32,0.8231484293937683,3.20584114810174e-11,0.8231017589569092,3.20584114810174e-11,0.8231017589569092,3.20584114810174e-11,0.8231017589569092,3.20584114810174e-11,0.8231017589569092,0.8226354122161865,3.209136775761401e-11,0.8226354122161865,3.209136775761401e-11,0.8226354122161865,3.209136775761401e-11,0.8226354122161865,3.209136775761401e-11,0.8226354122161865
33,0.8224490880966187,3.2107875386211404e-11,0.8224025368690491,3.2107875386211404e-11,0.8224025368690491,3.2107875386211404e-11,0.8224025368690491,3.2107875386211404e-11,0.8224025368690491,0.8219373226165771,3.2140907990640954e-11,0.8219373226165771,3.2140907990640954e-11,0.8219373226165771,3.2140907990640954e-11,0.8219373226165771,3.2140907990640954e-11,0.8219373226165771
34,0.8217514157295227,3.215744684426092e-11,0.8217050433158875,3.215744684426092e-11,0.8217050433158875,3.215744684426092e-11,0.8217050433158875,3.215744684426092e-11,0.8217050433158875,0.8212407827377319,3.219055230707646e-11,0.8212407827377319,3.219055230707646e-11,0.8212407827377319,3.219055230707646e-11,0.8212407827377319,3.219055230707646e-11,0.8212407827377319
35,0.82105553150177,3.220712932461289e-11,0.8210091590881348,3.220712932461289e-11,0.8210091590881348,3.220712932461289e-11,0.8210091590881348,3.220712932461289e-11,0.8210091590881348,0.8205459117889404,3.2240307645814426e-11,0.8205459117889404,3.2240307645814426e-11,0.8205459117889404,3.2240307645814426e-11,0.8205459117889404,3.2240307645814426e-11,0.8205459117889404
36,0.8203609585762024,3.225691935782038e-11,0.8203147053718567,3.225691935782038e-11,0.8203147053718567,3.225691935782038e-11,0.8203147053718567,3.225691935782038e-11,0.8203147053718567,0.8198527097702026,3.2290174006854855e-11,0.8198527097702026,3.2290174006854855e-11,0.8198527097702026,3.2290174006854855e-11,0.8198527097702026,3.2290174006854855e-11,0.8198527097702026
37,0.819668173789978,3.230682041333033e-11,0.8196220397949219,3.230682041333033e-11,0.8196220397949219,3.230682041333033e-11,0.8196220397949219,3.230682041333033e-11,0.8196220397949219,0.8191609382629395,3.234013751240994e-11,0.8191609382629395,3.234013751240994e-11,0.8191609382629395,3.234013751240994e-11,0.8191609382629395,3.234013751240994e-11,0.8191609382629395
38,0.818976879119873,3.2356822082801884e-11,0.8189308643341064,3.2356822082801884e-11,0.8189308643341064,3.2356822082801884e-11,0.8189308643341064,3.2356822082801884e-11,0.8189308643341064,0.8184709548950195,3.239020510137358e-11,0.8184709548950195,3.239020510137358e-11,0.8184709548950195,3.239020510137358e-11,0.8184709548950195,3.239020510137358e-11,0.8184709548950195
39,0.818287193775177,3.24069347745759e-11,0.8182412981987,3.24069347745759e-11,0.8182412981987,3.24069347745759e-11,0.8182412981987,3.24069347745759e-11,0.8182412981987,0.8177824020385742,3.24404114682153e-11,0.8177824020385742,3.24404114682153e-11,0.8177824020385742,3.24404114682153e-11,0.8177824020385742,3.24404114682153e-11,0.8177824020385742
40,0.8175991177558899,3.2457161958099334e-11,0.8175533413887024,3.2457161958099334e-11,0.8175533413887024,3.2457161958099334e-11,0.8175533413887024,3.2457161958099334e-11,0.8175533413887024,0.8170955181121826,3.2490694162889966e-11,0.8170955181121826,3.2490694162889966e-11,0.8170955181121826,3.2490694162889966e-11,0.8170955181121826,3.2490694162889966e-11,0.8170955181121826
41,0.8169126510620117,3.2507493225031325e-11,0.816866934299469,3.2507493225031325e-11,0.816866934299469,3.2507493225031325e-11,0.816866934299469,3.2507493225031325e-11,0.816866934299469,0.8164103031158447,3.2541094818760996e-11,0.8164103031158447,3.2541094818760996e-11,0.8164103031158447,3.2541094818760996e-11,0.8164103031158447,3.2541094818760996e-11,0.8164103031158447
42,0.8162277936935425,3.2557928575371875e-11,0.8161821961402893,3.2557928575371875e-11,0.8161821961402893,3.2557928575371875e-11,0.8161821961402893,3.2557928575371875e-11,0.8161821961402893,0.8157265186309814,3.2591620374722297e-11,0.8157265186309814,3.2591620374722297e-11,0.8157265186309814,3.2591620374722297e-11,0.8157265186309814,3.2591620374722297e-11,0.8157265186309814
43,0.8155444860458374,3.260848188690879e-11,0.8154990077018738,3.260848188690879e-11,0.8154990077018738,3.260848188690879e-11,0.8154990077018738,3.260848188690879e-11,0.8154990077018738,0.8150444030761719,3.2642232666857396e-11,0.8150444030761719,3.2642232666857396e-11,0.8150444030761719,3.2642232666857396e-11,0.8150444030761719,3.2642232666857396e-11,0.8150444030761719
44,0.814862847328186,3.2659135812407314e-11,0.8148174285888672,3.2659135812407314e-11,0.8148174285888672,3.2659135812407314e-11,0.8148174285888672,3.2659135812407314e-11,0.8148174285888672,0.8143638372421265,3.269295945074191e-11,0.8143638372421265,3.269295945074191e-11,0.8143638372421265,3.269295945074191e-11,0.8143638372421265,3.269295945074191e-11,0.8143638372421265
45,0.8141826391220093,3.270990422965525e-11,0.8141373991966248,3.270990422965525e-11,0.8141373991966248,3.270990422965525e-11,0.8141373991966248,3.270990422965525e-11,0.8141373991966248,0.8136848211288452,3.274380766526974e-11,0.8136848211288452,3.274380766526974e-11,0.8136848211288452,3.274380766526974e-11,0.8136848211288452,3.274380766526974e-11,0.8136848211288452
46,0.8135040998458862,3.276077673031175e-11,0.8134589195251465,3.276077673031175e-11,0.8134589195251465,3.276077673031175e-11,0.8134589195251465,3.276077673031175e-11,0.8134589195251465,0.8130073547363281,3.2794749554865277e-11,0.8130073547363281,3.2794749554865277e-11,0.8130073547363281,3.2794749554865277e-11,0.8130073547363281,3.2794749554865277e-11,0.8130073547363281
47,0.8128269910812378,3.281176372271766e-11,0.8127819895744324,3.281176372271766e-11,0.8127819895744324,3.281176372271766e-11,0.8127819895744324,3.281176372271766e-11,0.8127819895744324,0.8123315572738647,3.284581287510413e-11,0.8123315572738647,3.284581287510413e-11,0.8123315572738647,3.284581287510413e-11,0.8123315572738647,3.284581287510413e-11,0.8123315572738647
48,0.8121516108512878,3.2862854798532126e-11,0.8121066093444824,3.2862854798532126e-11,0.8121066093444824,3.2862854798532126e-11,0.8121066093444824,3.2862854798532126e-11,0.8121066093444824,0.811657190322876,3.289697333985764e-11,0.811657190322876,3.289697333985764e-11,0.811657190322876,3.289697333985764e-11,0.811657190322876,3.289697333985764e-11,0.811657190322876
49,0.811477780342102,3.291405689664906e-11,0.8114328384399414,3.291405689664906e-11,0.8114328384399414,3.291405689664906e-11,0.8114328384399414,3.291405689664906e-11,0.8114328384399414,0.8109846115112305,3.294824829636056e-11,0.8109846115112305,3.294824829636056e-11,0.8109846115112305,3.294824829636056e-11,0.8109846115112305,3.294824829636056e-11,0.8109846115112305
